Omega_b  Omega_m  h  sigma8_lcdm  n_s logfR0
6.1268e-02 4.1475e-01 6.1387e-01 6.5822e-01 1.0753e+00 6.0453e+00
3.7635e-02 2.8397e-01 7.1465e-01 7.3429e-01 1.1016e+00 6.4321e+00
4.0076e-02 2.4400e-01 5.6348e-01 6.3762e-01 9.8719e-01 4.8379e+00
4.1541e-02 1.9678e-01 8.1660e-01 6.1860e-01 1.1241e+00 5.0723e+00
4.1932e-02 3.2877e-01 8.0019e-01 7.7549e-01 1.0603e+00 4.1934e+00
4.3885e-02 3.0092e-01 8.4824e-01 8.3254e-01 7.7531e-01 5.6465e+00
4.6131e-02 4.6076e-01 5.9746e-01 6.8675e-01 8.9719e-01 5.2949e+00
4.6521e-02 3.5662e-01 5.7520e-01 9.2922e-01 9.0656e-01 5.9161e+00
4.9354e-02 1.5560e-01 6.7246e-01 7.3746e-01 9.9469e-01 6.9826e+00
5.0623e-02 3.3482e-01 7.7793e-01 9.6883e-01 8.4844e-01 4.0996e+00
5.2088e-02 1.9072e-01 7.2871e-01 6.6773e-01 8.0906e-01 4.6973e+00
5.2771e-02 3.7236e-01 7.5332e-01 9.8944e-01 1.1484e+00 5.3417e+00
5.5701e-02 2.2221e-01 6.9121e-01 9.0227e-01 8.3344e-01 6.0685e+00
5.6580e-02 4.4502e-01 6.4551e-01 8.4205e-01 1.0397e+00 6.6168e+00
5.7850e-02 2.5490e-01 6.1269e-01 8.7692e-01 1.1822e+00 6.6428e+00
6.0193e-02 3.9416e-01 7.5918e-01 7.8817e-01 7.3406e-01 5.7756e+00
6.1170e-02 4.1111e-01 6.3379e-01 9.4982e-01 9.3844e-01 4.5215e+00
3.8221e-02 2.4643e-01 5.9512e-01 6.7882e-01 8.1844e-01 5.8926e+00
3.8807e-02 4.0021e-01 6.5371e-01 8.8960e-01 1.0997e+00 6.8309e+00
4.1346e-02 4.1717e-01 7.7090e-01 8.0402e-01 1.1522e+00 5.0254e+00
4.1736e-02 3.6752e-01 5.5410e-01 9.5774e-01 9.7406e-01 4.2871e+00
4.3396e-02 2.2705e-01 8.0957e-01 9.3714e-01 1.0228e+00 5.5410e+00
4.5643e-02 2.0041e-01 7.4746e-01 6.8516e-01 1.0191e+00 6.1971e+00
4.6619e-02 4.2685e-01 8.1426e-01 7.4221e-01 7.4906e-01 5.3534e+00
4.9061e-02 2.7912e-01 6.2207e-01 7.6123e-01 1.1222e+00 4.1230e+00
4.9939e-02 4.5592e-01 7.8262e-01 9.9894e-01 8.0156e-01 6.4089e+00
5.1502e-02 2.6096e-01 7.3457e-01 8.2620e-01 7.5844e-01 6.7956e+00
5.3357e-02 3.3846e-01 6.6543e-01 9.7993e-01 8.8969e-01 5.2246e+00
5.5311e-02 3.7115e-01 6.9238e-01 8.8167e-01 1.1897e+00 6.4436e+00
5.6287e-02 3.0455e-01 6.3965e-01 6.1385e-01 8.4469e-01 4.7090e+00
5.7947e-02 1.6408e-01 7.1582e-01 8.5473e-01 9.2719e-01 4.5449e+00
5.9119e-02 1.8951e-01 5.7988e-01 6.5663e-01 1.0697e+00 5.8106e+00
6.0486e-02 3.2756e-01 8.3535e-01 7.1844e-01 9.5156e-01 4.8730e+00
3.7342e-02 3.5178e-01 7.2168e-01 8.7533e-01 1.0097e+00 4.9668e+00
3.8904e-02 2.1373e-01 5.9277e-01 7.6440e-01 8.6719e-01 6.9353e+00
4.0955e-02 1.7982e-01 6.7832e-01 9.4823e-01 1.1634e+00 6.3027e+00
4.2615e-02 4.1232e-01 6.3613e-01 9.2605e-01 7.4156e-01 6.1041e+00
4.3689e-02 4.0264e-01 7.8965e-01 6.1068e-01 9.0844e-01 5.6581e+00
4.5545e-02 1.5682e-01 6.8535e-01 7.3904e-01 9.4031e-01 4.7910e+00
4.7400e-02 2.8518e-01 5.5293e-01 8.3888e-01 1.0491e+00 5.7403e+00
4.9158e-02 3.1303e-01 7.6152e-01 6.4079e-01 1.1353e+00 4.3926e+00
5.0135e-02 2.0525e-01 7.4043e-01 9.8627e-01 7.7719e-01 4.3105e+00
5.2283e-02 2.3432e-01 8.2715e-01 7.2161e-01 8.1469e-01 6.7595e+00
5.4041e-02 3.4451e-01 7.1816e-01 7.9609e-01 8.7094e-01 5.1308e+00
5.4725e-02 3.8447e-01 8.3887e-01 8.2145e-01 1.1859e+00 5.9043e+00
5.5896e-02 4.4744e-01 6.5840e-01 9.9419e-01 1.0641e+00 5.4354e+00
5.7361e-02 4.2928e-01 6.1504e-01 6.7724e-01 7.9781e-01 6.5140e+00
5.9998e-02 2.5975e-01 5.7168e-01 6.8991e-01 9.7781e-01 4.6270e+00
6.0584e-02 2.9486e-01 8.0137e-01 9.0386e-01 1.0922e+00 4.1582e+00
