Omega_m  sigma8_lcdm logfR0
2.940960824489593506e-01 8.048139810562133789e-01 5.606500015243478963e+00
3.019785881042480469e-01 9.625729322433471680e-01 4.292500005996409129e+00
3.352427184581756592e-01 9.743338823318481445e-01 4.400500005312620644e+00
3.437558114528656006e-01 6.644936800003051758e-01 4.526500004488926976e+00
3.615702688694000244e-01 7.415481805801391602e-01 4.160499988613987732e+00
3.689798116683959961e-01 1.012050032615661621e+00 4.466500005393430506e+00
2.581518888473510742e-01 6.105555295944213867e-01 4.286500007508158738e+00
2.693450152873992920e-01 7.837253808975219727e-01 4.178499989120644464e+00
2.881053686141967773e-01 6.466494798660278320e-01 4.538500006109186025e+00
2.890512645244598389e-01 9.877170324325561523e-01 4.100499980569393799e+00
3.082845807075500488e-01 6.263719797134399414e-01 4.682500000131093465e+00
3.179012238979339600e-01 6.855822801589965820e-01 5.525500000312913329e+00
3.249954879283905029e-01 1.002316832542419434e+00 4.760500016391949529e+00
3.543183803558349609e-01 8.433412313461303711e-01 5.192499990141847377e+00
3.749705255031585693e-01 9.074181318283081055e-01 4.007500011878807555e+00
3.915237784385681152e-01 1.010833382606506348e+00 5.486499990954039063e+00
2.442786693572998047e-01 6.746324300765991211e-01 4.643499997021604209e+00
2.713944613933563232e-01 9.264789819717407227e-01 4.169499983492627848e+00
2.918889820575714111e-01 9.349955320358276367e-01 4.553500004020103020e+00
3.273602128028869629e-01 9.139069318771362305e-01 4.028500012438635203e+00
3.300402760505676270e-01 9.824448823928833008e-01 4.115499993480853824e+00
3.540030717849731445e-01 6.219109296798706055e-01 4.337500008155460662e+00
3.713445663452148438e-01 9.617618322372436523e-01 5.369499992425328827e+00
3.804882764816284180e-01 6.726046800613403320e-01 4.229499992370542749e+00
3.878978192806243896e-01 8.364468812942504883e-01 4.619500003579468661e+00
3.937308788299560547e-01 8.603743314743041992e-01 6.647500000848911128e+00
