TF	Experiment	cellLine
POLR2A	GSM1195562	unknown
POLR2A	GSM2058672	unknown
ZMYM3	ENCSR102KIN_2	K562
POLR2A	ENCSR388QZF_1	K562
POU5F1	GSM1705259	unknown
EZH2	GSM717404	unknown
RELA	GSM1267411	unknown
GATA2	GSM803540	unknown
ESR1	GSM798431	unknown
EP300	GSM935500	unknown
ATF4	GSM1697347	unknown
NR3C1	GSM1350531	unknown
ZNF589	ENCSR603XLW_1	K562
GATA3	GSM1680102	unknown
CHRM2	GSM1527529	unknown
CTCF	GSM646474	unknown
RUNX1	GSM1113437	unknown
NR3C1	GSM2095209	unknown
AR	GSM2122805	unknown
LARP7	ENCSR288MOZ_2	K562
POLR2A	GSM1661791	unknown
TEAD4	GSM1010845	unknown
MAF	GSM1859073	unknown
RUNX1	GSM2026053	unknown
EZH2	GSM1003520	unknown
AR	GSM1843409	unknown
ESR1	GSM1010823	unknown
CREBBP	GSM1239073	unknown
CTCF	GSM1056577	unknown
FOXA2	GSM1505639	unknown
AR	GSM817352	unknown
CTCF	GSM614615	unknown
SRF	GSM803502	unknown
ZC3H8	GSM1162749	unknown
EZH2	GSM1180166	unknown
LMO2	GSM837992	unknown
POLR2A	GSM2360006	unknown
POLR2A	GSM1670714	unknown
AR	GSM2797120	unknown
ESR1	GSM1523082	unknown
POLR2A	GSM2058662	unknown
BCOR	GSM763410	unknown
SMARCB1	GSM935634	unknown
ESR1	GSM986089	unknown
EP300	GSM1240110	unknown
ZC3H8	ENCSR494PWZ_2	K562
RXRA	GSM1019136	unknown
GLI2	GSM2779054	unknown
NIPBL	GSM1208661	unknown
MXI1	GSM1003631	unknown
POLR2A	GSM935474	unknown
CEBPB	ENCSR375BUB_2	unknown
BCL3	ENCSR639KFO_2	unknown
TAF1	GSM803537	unknown
ESR1	GSM1967545	unknown
RAD21	GSM614618	unknown
LARP7	GSM2332314	unknown
ZNF512	ENCSR591CCL_1	K562
POLR2A	GSM917816	unknown
POLR2A	GSM935291	unknown
ESR1	GSM2443991	unknown
IRF4	GSM1370287	unknown
ELK4	GSM608162	unknown
BRD3	GSM1247830	unknown
BRD4	GSM2359438	unknown
REST	GSM1333996	unknown
BCL11B	ENCSR770PQN_2	HEK293
NR3C1	ENCSR919OXR_2	unknown
CTCF	GSM849300	unknown
WWTR1	GSM1614030	unknown
POLR2A	GSM1383869	unknown
ATF2	ENCSR961PPA_2	GM12878
AR	GSM1527034	unknown
MRE11A	GSM1543776	unknown
YY1	GSM2597224	unknown
GATA1	GSM935333	unknown
PR	GSM1669036	unknown
MYOD1	GSM1218849	unknown
MAFK	GSM1003616	unknown
POLR2A	GSM486503	unknown
EP300	GSM2214116	unknown
TAF1	GSM803489	unknown
DNMT3B	GSM2642523	unknown
BRD4	GSM1893938	unknown
BRD2	GSM1416805	unknown
KDM5A	GSM1003446	unknown
MYC	GSM935441	unknown
ESR1	GSM2747707	unknown
ATF3	GSM2333813	unknown
ZNF202	ENCSR996FYT_2	HEK293
FOXA1	GSM1274873	unknown
MYNN	GSM2026878	unknown
SP1	ENCSR334KIQ_2	HepG2
ESR1	GSM1325247	unknown
NR2C2	GSM608155	unknown
JUNB	ENCSR795IYP_1	K562
SETDB1	GSM697625	unknown
POLR2A	GSM2188497	unknown
POLR2A	GSM1177771	unknown
TCF7L1	GSM1873237	unknown
BRD4	GSM1249882	unknown
POLR2A	GSM365930	unknown
OTX2	GSM2432950	unknown
AR	GSM2797128	unknown
HNF1A	ENCSR800QIT_1	HepG2
BCL3	ENCSR186IQL_1	unknown
PR	GSM2112809	unknown
FAIRE	GSM1095931	unknown
FOXA1	GSM1505635	unknown
POLR2A	GSM2635252	unknown
BRD4	GSM2330589	unknown
TCF7L2	GSM722418	unknown
EGR2	GSM785504	unknown
POLR2A	GSM2218633	unknown
TFAP2A	GSM588928	unknown
KLF5	GSM1240820	unknown
POLR2A	GSM1088665	unknown
CTCF	GSM749736	unknown
NANOG	GSM1933887	unknown
KDM2B	GSM1612067	unknown
CTCF	GSM733724	unknown
MYC	GSM1234500	unknown
GRHL2	GSM1125983	unknown
BRD4	GSM1328963	unknown
CTCF	ENCSR304XUZ_1	breast
SIN3A	GSM803525	unknown
TEAD4	GSM1614034	unknown
ETV6	GSM2574796	unknown
ESR1	GSM2747700	unknown
SPI1	GSM1370284	unknown
YAP1	GSM1542532	unknown
OTX2	GSM2432943	unknown
CTCF	GSM1006893	unknown
TRIM24	GSM1697902	unknown
EP300	GSM1669023	unknown
POLR2A	GSM2066440	unknown
BRD4	GSM1314128	unknown
FOXA1	GSM2644576	unknown
EHMT2	GSM1644666	unknown
RNF2	ENCSR820GND_2	K562
POLR2A	GSM1164251	unknown
MTA2	ENCSR113LAS_1	K562
POLR2A	GSM935640	unknown
SP1	GSM2065874	unknown
POLR2A	GSM2670988	unknown
PPARG	GSM1571739	unknown
KDM6B	GSM1348337	unknown
CNOT3	GSM1617374	unknown
MYNN	ENCSR737LTZ_2	K562
BRD4	GSM1915117	unknown
IRF9	ENCSR926KTP_2	K562
RELA	GSM1644000	unknown
FAIRE	GSM1122847	unknown
GABPA	GSM803356	unknown
GATA4	GSM2280035	unknown
POLR2A	GSM2151922	unknown
ZFP57	GSM2466451	unknown
CTCF	GSM2040767	unknown
NELFA	GSM1670874	unknown
POLR2A	GSM2467776	unknown
REST	GSM1333985	unknown
CTCF	GSM749676	unknown
TP53	GSM501692	unknown
MCM3	ENCSR990AZC_1	K562
HOXB13	GSM1716763	unknown
POLR2A	GSM1872289	unknown
POLR2A	GSM1565013	unknown
CBFB	GSM1122303	unknown
NFE2	ENCSR552YGL_2	K562
POLR2A	GSM2592805	unknown
POLR2A	GSM1679129	unknown
CTCF	GSM2026785	unknown
ZNF512	ENCSR591CCL_2	K562
CDK9	GSM1961570	unknown
SMC3	GSM1240840	unknown
NEUROD1	GSM2432944	unknown
MAZ	GSM935335	unknown
ZNF610	GSM2466610	unknown
OTX2	GSM2432980	unknown
EGR1	GSM803434	unknown
AR	GSM1358413	unknown
ESR1	GSM1669019	unknown
ELF1	GSM1122313	unknown
POLR2A	GSM1465034	unknown
AR	GSM2058879	unknown
POLR2A	GSM2304875	unknown
ETS1	GSM803442	unknown
PAF1	GSM2769056	unknown
ZMYM3	GSM2574774	unknown
ESR1	GSM1858622	unknown
EP300	ENCSR047EVQ_1	unknown
NFYB	GSM648588	unknown
CHD8	GSM1506075	unknown
POLR2A	GSM2188496	unknown
POLR2A	GSM1872286	unknown
KDM5B	GSM1122651	unknown
POLR2A	GSM2281662	unknown
CTCF	GSM1224651	unknown
KMT2A	GSM1934095	unknown
POLR2A	GSM935530	unknown
NRF1	GSM1891659	unknown
FOXA1	GSM2219860	unknown
ZNF501	ENCSR461ZJT_1	HEK293
TP63	GSM1139036	unknown
FAIRE	GSM748518	unknown
TP53	GSM981237	unknown
CTCF	GSM2747713	unknown
NR3C1	ENCSR424JOE_3	unknown
FOXA1	GSM2644575	unknown
SMARCC2	GSM601401	unknown
MED1	GSM1961567	unknown
IKZF1	ENCSR278JQG_2	HepG2
EP300	GSM1052710	unknown
JUND	GSM935569	unknown
HOXB13	GSM2480819	unknown
KLF5	GSM1919984	unknown
PML	GSM468180	unknown
AR	GSM2797126	unknown
SMAD2	GSM761758	unknown
NEUROG2	GSM1970158	unknown
E2F4	GSM935400	unknown
POLR2A	GSM1527696	unknown
POU5F1	GSM803438	unknown
AR	GSM2186465	unknown
OGT	GSM1250376	unknown
ZFX	GSM2741762	unknown
BRD4	GSM2330608	unknown
BRD4	GSM2330599	unknown
KMT2D	GSM1846888	unknown
REST	GSM1333988	unknown
CEBPB	GSM935295	unknown
CEBPB	GSM935493	unknown
ESR1	GSM1858638	unknown
POLR2A	GSM1164246	unknown
TOP1	GSM2058666	unknown
FOXA1	GSM699635	unknown
HSF1	GSM951892	unknown
CBX1	ENCSR819WZE_1	HepG2
SIX2	GSM1970530	unknown
NFYB	GSM935429	unknown
HIF1A	GSM1462475	unknown
AR	GSM1328953	unknown
YBX3	ENCSR567JEU_1	K562
SP3	ENCSR141PZA_1	HEK293
ZXDB	ENCSR559IOZ_1	HEK293
ZNF175	ENCSR103GAK_1	HEK293
KMT2A	GSM1897369	unknown
POLR2A	GSM2042906	unknown
HOXB13	GSM1716768	unknown
GLI2	GSM2779057	unknown
POLR2A	GSM763428	unknown
ELK1	ENCSR382WLL_1	MCF-7
SAP30	GSM1003445	unknown
CTCF	GSM2067526	unknown
FOSL2	ENCSR242EWU_2	unknown
TARDBP	ENCSR412QBS_2	GM12878
XRN2	GSM1872298	unknown
POLR2A	GSM486452	unknown
POLR2A	GSM604666	unknown
RAD21	GSM1861940	unknown
RELA	GSM2219848	unknown
TP63	GSM1489260	unknown
ESR1	GSM631488	unknown
UBTF	GSM935642	unknown
RELA	GSM486269	unknown
MYCN	GSM2572349	unknown
CREM	ENCSR903ELW_1	HepG2
SIN3A	GSM1010905	unknown
CEBPA	GSM2326841	unknown
POLR2A	GSM1533411	unknown
GATA1	GSM788367	unknown
GATA3	GSM986074	unknown
POLR2A	GSM1587895	unknown
MLLT1	GSM2183704	unknown
BRD4	GSM1070124	unknown
ZNF740	ENCSR737UST_1	K562
ZNF792	ENCSR679STZ_1	HEK293
BRD4	GSM2350450	unknown
AR	GSM2393829	unknown
INTS11	GSM2257577	unknown
MYC	GSM894060	unknown
MKL2	GSM2436683	unknown
CTCF	GSM2747725	unknown
BRD4	GSM1503856	unknown
MED1	GSM959630	unknown
OTX2	GSM1505711	unknown
NFKB1	GSM2628094	unknown
EZH1	GSM1427069	unknown
STAT3	GSM1227209	unknown
ZNF707	ENCSR854IPI_2	HEK293
TRIM28	GSM1399265	unknown
STAG1	GSM1233976	unknown
POLR2A	GSM1603219	unknown
CEBPG	ENCSR094ZCF_1	MCF-7
POLR2A	GSM2309434	unknown
SIN3A	ENCSR468LUO_2	MCF-7
POLR2A	GSM486463	unknown
CHD1	GSM830988	unknown
FAIRE	GSM925736	unknown
ETV1	ENCSR277DMR_1	K562
RELA	GSM486270	unknown
POLR2A	GSM1405113	unknown
CTCF	GSM749732	unknown
POLR2A	GSM2670975	unknown
HNF4G	ENCSR297GII_2	liver
NOTCH1	GSM1252936	unknown
AR	GSM984385	unknown
MAML3	GSM1693099	unknown
CTCF	GSM2493878	unknown
MEF2D	ENCSR647ZXA_1	K562
NR3C1	GSM1176702	unknown
POLR2A	GSM754330	unknown
ESR1	GSM2797110	unknown
GTF2B	GSM1846786	unknown
JUND	GSM777639	unknown
POLR2A	GSM1545658	unknown
RNF2	GSM1003563	unknown
STAT3	GSM2752900	unknown
CTCF	GSM749665	unknown
CEBPA	GSM2326842	unknown
CTCF	GSM1684574	unknown
POLR2A	GSM2895357	unknown
RELA	GSM486275	unknown
ELL2	GSM1405093	unknown
POLR2A	GSM1465032	unknown
BRD4	GSM2090919	unknown
E2F1	GSM2046833	unknown
POLR2A	GSM1234502	unknown
CTCF	GSM1684573	unknown
RELA	GSM1643962	unknown
TTF2	GSM891239	unknown
RXRA	GSM2877306	unknown
MAX	GSM1010904	unknown
POLR2A	GSM2642500	unknown
FAIRE	GSM1327355	unknown
POLR2A	GSM1905827	unknown
NELFE	GSM2151657	unknown
POLR2A	GSM301566	unknown
PR	GSM999793	unknown
POLR2A	GSM1276019	unknown
SMARCA5	ENCSR895HSJ_2	K562
FLI1	GSM863154	unknown
PYGO2	ENCSR410DWC_1	K562
GTF3C2	GSM935342	unknown
FOXA1	GSM1858640	unknown
MED1	GSM1470020	unknown
CBX3	GSM699727	unknown
GATA3	GSM935567	unknown
CTCF	GSM651543	unknown
AR	GSM1501189	unknown
KLF15	GSM2519951	unknown
FOSL2	ENCSR686HIU_1	unknown
REST	GSM1003507	unknown
RELA	GSM2394423	unknown
ZNF423	ENCSR477OJI_2	HEK293
SMC1A	GSM2040030	unknown
FOXA1	GSM2242428	unknown
RELA	ENCSR772EEN_2	K562
EP300	GSM1333962	unknown
FOXA1	GSM2480813	unknown
EP300	ENCSR770OTI_3	unknown
HDGF	ENCSR197ALX_1	K562
ZBTB7A	GSM2771540	unknown
E2F4	GSM935600	unknown
PHF2	GSM1936777	unknown
SMARCA4	GSM651552	unknown
CTCF	GSM941710	unknown
RELA	GSM2628088	unknown
FAIRE	GSM631502	unknown
NEUROD1	GSM2432979	unknown
BRD4	GSM2676799	unknown
REST	GSM1010735	unknown
TP53	GSM1366691	unknown
ZNF639	GSM2574764	unknown
GATA2	GSM1691158	unknown
TRIM28	GSM607492	unknown
AR	GSM2716917	unknown
FOXA1	GSM798437	unknown
RELA	GSM1055810	unknown
FOXA1	GSM2171830	unknown
ZBED1	ENCSR207PFI_1	GM12878
NR3C1	GSM2735381	unknown
POLR2A	GSM822295	unknown
FLI1	GSM790209	unknown
NANOG	GSM2648931	unknown
VDR	GSM791404	unknown
LHX2	GSM1208644	unknown
RELA	GSM486283	unknown
RUNX1	GSM2326840	unknown
MYC	GSM2049321	unknown
POLR2A	GSM1037517	unknown
PAF1	GSM1727095	unknown
CTCF	GSM749708	unknown
CREB1	GSM1873045	unknown
REST	GSM1201946	unknown
TFDP1	GSM2132551	unknown
NKX3-1	GSM989640	unknown
POLR2A	GSM2151662	unknown
ESR1	GSM1669043	unknown
POLR2A	GSM1010737	unknown
ERG	GSM1193664	unknown
ESR1	GSM2305314	unknown
SUZ12	ENCSR412CTM_1	K562
GATA3	GSM1855970	unknown
POLR2A	GSM2571043	unknown
MYC	GSM748547	unknown
NEUROD1	GSM2432977	unknown
POLR2A	GSM2667962	unknown
SMARCA4	GSM651558	unknown
ZBTB7A	GSM2771535	unknown
TCF7L2	GSM722426	unknown
POLR2A	GSM969566	unknown
CREBBP	GSM525268	unknown
BRD4	GSM2330602	unknown
SUMO2	GSM1622620	unknown
PPARG	GSM1571727	unknown
PAX5	GSM1086298	unknown
CEBPB	ENCSR182OZC_2	unknown
POLR2A	GSM935543	unknown
EP300	GSM1917726	unknown
HES2	ENCSR964KSS_1	unknown
SPDEF	GSM1187121	unknown
POLR2A	GSM726988	unknown
FOXA1	GSM631474	unknown
CREB1	GSM1873041	unknown
POLR2A	GSM1866694	unknown
POLR2A	GSM1533404	unknown
MYC	GSM2065882	unknown
FOXA1	GSM1691165	unknown
REST	GSM1290170	unknown
EP300	GSM1009633	unknown
NR3C1	GSM1858631	unknown
SUZ12	GSM1427067	unknown
ELL2	GSM1405086	unknown
SRC	GSM959625	unknown
KDM5B	GSM1122669	unknown
CTCF	GSM614630	unknown
CREB1	GSM1873042	unknown
ATF3	GSM1917774	unknown
RAD21	GSM935647	unknown
CTCF	GSM1022657	unknown
POLR2A	GSM1975023	unknown
RARA	GSM1469988	unknown
KLF5	GSM1250891	unknown
RAD21	GSM803497	unknown
SPI1	GSM1566550	unknown
ESR1	GSM798430	unknown
ARNTL	GSM1081127	unknown
ESR1	GSM2648919	unknown
ZNF547	ENCSR909TSW_2	HEK293
MED1	GSM1470018	unknown
ESR1	GSM631455	unknown
POLR2A	GSM1843416	unknown
LMTK3	GSM1726361	unknown
TAF7	ENCSR671GFC_2	K562
TTF1	GSM1246715	unknown
ZNF140	GSM2026790	unknown
AR	GSM1069669	unknown
DNMT3B	GSM2642524	unknown
POLR2A	GSM1670715	unknown
CTCF	GSM1233934	unknown
POLR2A	GSM1037519	unknown
SP4	GSM2026797	unknown
SUMO1	GSM1012775	unknown
WDR5	GSM1333369	unknown
ESR1	GSM1470022	unknown
HBP1	ENCSR616WEG_2	HepG2
NFYA	GSM1208777	unknown
ESR1	GSM2061657	unknown
CTCF	GSM2747721	unknown
AFF1	GSM2227446	unknown
NIPBL	GSM2809638	unknown
ESR1	GSM614611	unknown
LMNA	GSM2166092	unknown
CDK8	GSM1587927	unknown
INTS11	GSM2257578	unknown
WDR5	GSM1493026	unknown
SMARCA4	GSM1835897	unknown
POLR2A	GSM1603218	unknown
ZBTB11	ENCSR331GDC_1	K562
TFAP2C	GSM889427	unknown
ZBTB33	GSM803449	unknown
TCF7	ENCSR444LIN_2	HepG2
NR3C1	ENCSR952GOL_2	unknown
E2F1	GSM935477	unknown
EP300	GSM935294	unknown
ESR1	GSM2144754	unknown
CHD1	GSM2359988	unknown
GATA2	GSM1480746	unknown
BRD4	GSM1133651	unknown
GATA2	GSM1600544	unknown
ESR1	GSM1534751	unknown
GRHL2	GSM2970414	unknown
RNF2	GSM855007	unknown
FOSL2	ENCSR593DGU_2	A549
GRHL2	GSM2970416	unknown
HDAC1	ENCSR387UWP_1	K562
ZNF384	GSM2026843	unknown
REST	GSM1290150	unknown
SMAD2-SMAD3	GSM727584	unknown
DDX5	GSM1415923	unknown
POLR2A	GSM2550189	unknown
MED1	GSM1679092	unknown
PBX1	GSM989353	unknown
POLR2A	GSM2042900	unknown
FOS	GSM730703	unknown
SPI1	GSM1681423	unknown
PR	GSM1669040	unknown
NELFE	GSM2151647	unknown
STAT3	GSM1227205	unknown
JUN	GSM1125262	unknown
EZH2	GSM831028	unknown
TCF12	GSM837987	unknown
TAL1	GSM1122311	unknown
EP300	GSM2550216	unknown
NELFE	GSM2151644	unknown
EP300	GSM2330557	unknown
MYC	GSM2218756	unknown
ESR1	GSM2747691	unknown
POLR2A	GSM1670711	unknown
ZNF2	GSM2466522	unknown
DNMT3B	ENCSR156CWW_2	HepG2
CDK7	GSM1463940	unknown
RELA	GSM2419831	unknown
GATA3	GSM1856013	unknown
MYB	GSM1442005	unknown
AR	GSM1207907	unknown
AR	GSM2480802	unknown
CTCF	GSM2877984	unknown
ESR1	GSM2747701	unknown
SPI1	GSM1940201	unknown
AR	GSM1071276	unknown
FOXA1	GSM1691142	unknown
MED1	GSM2280018	unknown
EMX1	GSM1327162	unknown
KLF9	ENCSR076EZB_1	HEK293
ZNF143	GSM959045	unknown
CTCF	GSM2026782	unknown
TCF7L2	ENCSR888XZK_2	K562
POLR2A	GSM1405117	unknown
AR	GSM1463459	unknown
FOXA1	GSM1551467	unknown
MYC	GSM1493022	unknown
PIAS1	GSM1622629	unknown
NEUROD1	GSM2432983	unknown
RBL2	GSM497499	unknown
PIAS1	GSM1622628	unknown
KDM3A	GSM1525104	unknown
POLR2A	GSM1545663	unknown
LEF1	GSM1875145	unknown
RELA	GSM486278	unknown
POLR2A	GSM1820484	unknown
NFE2L2	ENCSR707IUN_2	HeLa-S3
KRAB	GSM1819872	unknown
BRD4	GSM2058664	unknown
POLR2A	GSM1177770	unknown
STAT3	GSM1227208	unknown
TFAP2A	GSM1817199	unknown
KLF4	ENCSR265WJC_1	MCF-7
RBPJ	GSM1922947	unknown
ESR1	GSM2071221	unknown
POLR2A	GSM2521495	unknown
FOXA1	GSM2242434	unknown
ESR1	GSM986061	unknown
FOXA1	GSM983105	unknown
ZBTB11	ENCSR331GDC_2	K562
GATA3	GSM722168	unknown
EP300	GSM2550244	unknown
NEUROD1	GSM2432952	unknown
SP1	GSM803507	unknown
REST	GSM1290153	unknown
EGR1	GSM1010888	unknown
BCL6	GSM1589798	unknown
HNF4G	GSM803404	unknown
SPIB	GSM1370293	unknown
RAD21	GSM1861920	unknown
POLR2A	GSM2151660	unknown
BRD4	GSM1038274	unknown
POLR2A	GSM2642503	unknown
MAX	GSM935572	unknown
POLR2A	GSM1405138	unknown
HES2	ENCSR964KSS_3	unknown
MYC	GSM1976300	unknown
EP300	GSM2029581	unknown
POLR2A	GSM2550231	unknown
NIPBL	GSM2040045	unknown
POLR2A	GSM2571047	unknown
RAD21	GSM1888553	unknown
ESR1	GSM2112796	unknown
REST	GSM1290166	unknown
TRRAP	GSM566158	unknown
POLR2A	GSM1065010	unknown
RARA	GSM468200	unknown
CTCF	GSM534478	unknown
FOXA1	GSM2797080	unknown
ESR1	GSM2970404	unknown
NR3C1	GSM1858634	unknown
MED1	GSM2040046	unknown
BRD3	GSM1416808	unknown
NEUROD1	GSM2432984	unknown
REST	GSM803440	unknown
ZNF143	GSM935514	unknown
BRD4	GSM2359451	unknown
RCOR1	GSM935578	unknown
FOXA2	GSM2430679	unknown
SIX1	GSM1970527	unknown
AFF4	GSM749823	unknown
POLR2A	GSM1715556	unknown
ATF3	ENCSR632DCH_2	K562
XRN2	GSM1872297	unknown
ZNF143	GSM935568	unknown
GATA2	GSM1691152	unknown
GATA1	GSM2877121	unknown
FOXM1	GSM1000995	unknown
CTCF	GSM733719	unknown
RELA	GSM486276	unknown
FOXA1	GSM759664	unknown
FOXM1	GSM1464016	unknown
TAF1	GSM1010805	unknown
POLR2A	GSM1846799	unknown
TP53	GSM545808	unknown
SUMO2	GSM1622609	unknown
RAD21	GSM1010848	unknown
POLR2A	GSM748535	unknown
AFF4	GSM1405085	unknown
CEBPB	GSM1684645	unknown
RELA	GSM486313	unknown
GATA3	GSM2797149	unknown
POLR2A	GSM937545	unknown
CEBPB	ENCSR190VMK_2	unknown
FOXA2	GSM1551469	unknown
FOXA1	GSM1858658	unknown
REST	GSM1333993	unknown
JUND	GSM1010901	unknown
POLR2A	GSM2465087	unknown
RAD21	GSM935300	unknown
MYC	GSM2082058	unknown
SSRP1	GSM1103546	unknown
PR	GSM1245253	unknown
MYC	GSM2050639	unknown
CHD2	GSM935502	unknown
TFAP4	ENCSR103SZL_1	HepG2
RELA	GSM486308	unknown
BRD3	GSM1820953	unknown
CTCF	GSM489294	unknown
OTX2	GSM2432942	unknown
NR2C2	GSM608160	unknown
KDM2B	GSM1612065	unknown
TRIM25	ENCSR213VUI_2	K562
POLR2A	GSM2190585	unknown
YAP1	GSM1614029	unknown
GATA1	GSM2877105	unknown
AR	GSM984381	unknown
CEBPB	GSM1684643	unknown
MYC	GSM2049319	unknown
STAT1	GSM1057011	unknown
REPIN1	GSM1141538	unknown
POLR2A	GSM980654	unknown
TP63	GSM1366693	unknown
RELA	GSM486277	unknown
NFYA	GSM1239478	unknown
CTCF	GSM614631	unknown
GATA3	GSM2817659	unknown
CTCF	GSM947528	unknown
BRCA1	GSM997540	unknown
ESR1	GSM1010747	unknown
YBX1	ENCSR107RHZ_2	K562
BCL11A	GSM803396	unknown
SMARCA4	GSM935633	unknown
CTCF	GSM749733	unknown
