wavelength(mic) abs_k(a=0.01mic) abs_k(a=0.1mic) abs_k(a=1.0mic)
0.2065 97967 63228 3947
0.2089 93731 63573 3952
0.2113 89580 63946 3957
0.2138 85498 64331 3963
0.2163 81646 64714 3969
0.2175 79875 64898 3972
0.2188 78009 65096 3975
0.2213 74629 65397 3984
0.2239 71319 65687 3993
0.2265 68192 65976 4003
0.2291 65236 66263 4012
0.2317 62438 66547 4021
0.2344 60398 66460 4031
0.2371 58566 66309 4040
0.2399 56746 66154 4049
0.2427 55003 66001 4059
0.2455 53332 65850 4068
0.2483 52165 65583 4076
0.2512 51031 65301 4085
0.2541 49934 65023 4093
0.257 48873 64749 4102
0.26 47811 64471 4110
0.263 46591 64445 4116
0.2661 45369 64428 4122
0.2692 44193 64411 4128
0.2723 43061 64394 4134
0.2754 41957 64383 4140
0.2786 40482 64544 4147
0.2818 39076 64703 4154
0.2851 37692 64865 4160
0.2884 36372 65026 4167
0.2917 35109 65153 4174
0.2951 33823 64948 4184
0.2985 32598 64747 4194
0.302 31398 64542 4205
0.3055 30254 64340 4215
0.309 29243 64004 4225
0.3126 28720 62831 4236
0.3162 28213 61694 4247
0.3199 27706 60559 4258
0.3236 27214 59457 4269
0.3273 26768 58356 4280
0.3311 26435 57139 4288
0.335 26101 55932 4297
0.3388 25784 54792 4305
0.3428 25458 53631 4314
0.3467 25144 52645 4322
0.3508 24812 51965 4331
0.3548 24495 51318 4339
0.3589 24178 50670 4347
0.3631 23862 50022 4356
0.3673 23550 49565 4364
0.3715 23238 49464 4372
0.3758 22927 49363 4379
0.3802 22617 49260 4387
0.3846 22314 49159 4395
0.389 22025 49174 4403
0.3935 21748 49375 4411
0.3981 21471 49579 4420
0.4027 21201 49781 4428
0.4074 20932 49987 4437
0.4121 20672 50148 4445
0.4169 20416 50259 4454
0.4217 20167 50369 4462
0.4266 19918 50479 4470
0.4315 19675 50589 4479
0.4365 19429 50482 4488
0.4416 19181 50173 4497
0.4467 18938 49869 4507
0.4519 18697 49564 4516
0.4571 18461 49265 4525
0.4624 18222 48692 4534
0.4677 17985 47943 4542
0.4732 17746 47186 4551
0.4786 17517 46463 4559
0.4842 17285 45734 4568
0.4898 17069 44864 4577
0.4955 16861 43909 4586
0.5012 16658 42986 4595
0.507 16456 42077 4605
0.5129 16255 41182 4614
0.5188 16058 40247 4623
0.5248 15863 39298 4633
0.5309 15669 38367 4642
0.537 15480 37468 4651
0.5433 15289 36573 4661
0.5495 15068 35639 4671
0.5559 14833 34686 4681
0.5623 14605 33768 4691
0.5689 14376 32857 4701
0.5754 14156 31994 4711
0.5821 13933 31122 4722
0.5888 13715 30279 4732
0.5957 13496 29444 4742
0.6026 13284 28642 4752
0.6095 13077 27870 4762
0.6166 12892 27153 4774
0.6237 12715 26468 4786
0.631 12537 25790 4798
0.6383 12364 25137 4810
0.6457 12193 24499 4822
0.6531 12033 23920 4833
0.6607 11873 23349 4843
0.6683 11716 22797 4854
0.6761 11560 22250 4865
0.6839 11408 21723 4876
0.6918 11281 21262 4889
0.6998 11156 20811 4902
0.7079 11033 20370 4914
0.7161 10911 19938 4927
0.7244 10790 19515 4940
0.7328 10671 19123 4952
0.7413 10553 18739 4964
0.7499 10437 18362 4975
0.7586 10322 17993 4987
0.7674 10208 17632 4999
0.7762 10092 17282 5010
0.7852 9977 16936 5021
0.7943 9863 16597 5032
0.8035 9751 16265 5043
0.8128 9644 15947 5055
0.8222 9555 15670 5066
0.8318 9467 15395 5078
0.8414 9381 15127 5090
0.8511 9295 14865 5102
0.861 9208 14607 5114
0.871 9119 14358 5125
0.881 9031 14117 5137
0.8913 8942 13876 5149
0.9016 8855 13641 5161
0.912 8765 13405 5173
0.9226 8661 13154 5184
0.9333 8558 12909 5195
0.9441 8457 12669 5206
0.955 8357 12434 5217
0.9661 8250 12193 5228
0.9772 8135 11946 5240
0.9886 8019 11699 5252
1 7906 11461 5263
1.012 7790 11218 5276
1.023 7685 11000 5287
1.035 7568 10766 5300
1.047 7455 10539 5313
1.059 7344 10320 5326
1.072 7228 10090 5339
1.084 7130 9896 5353
1.096 7042 9719 5367
1.109 6948 9533 5382
1.122 6857 9352 5398
1.135 6769 9177 5413
1.148 6687 9015 5427
1.161 6613 8866 5440
1.175 6536 8712 5455
1.189 6460 8561 5469
1.202 6391 8425 5482
1.216 6316 8283 5499
1.23 6242 8146 5518
1.245 6164 8003 5538
1.259 6092 7873 5557
1.274 6018 7738 5577
1.288 5949 7615 5591
1.303 5876 7486 5603
1.318 5804 7362 5615
1.334 5730 7232 5628
1.349 5662 7115 5640
1.365 5588 6991 5659
1.38 5520 6878 5680
1.396 5448 6761 5702
1.413 5374 6641 5725
1.429 5307 6530 5746
1.445 5235 6419 5771
1.462 5160 6302 5798
1.479 5086 6189 5825
1.496 5014 6079 5852
1.514 4940 5967 5881
1.531 4872 5863 5887
1.549 4802 5757 5889
1.567 4733 5654 5890
1.585 4667 5554 5892
1.603 4602 5456 5894
1.622 4548 5375 5921
1.641 4497 5297 5952
1.66 4447 5221 5983
1.679 4399 5148 6013
1.698 4351 5076 6043
1.718 4288 4987 6080
1.738 4225 4900 6117
1.758 4164 4815 6154
1.778 4105 4732 6191
1.799 4044 4648 6229
1.82 3985 4567 6225
1.841 3926 4489 6222
1.862 3869 4412 6219
1.884 3811 4335 6215
1.905 3758 4263 6212
1.928 3706 4194 6217
1.95 3658 4129 6221
1.972 3611 4066 6225
1.995 3563 4002 6229
2 3553 3989 6230
2.01814 3515 3939 6235
2.03644 3469 3881 6249
2.0549 3424 3823 6264
2.07353 3379 3767 6279
2.09234 3335 3711 6293
2.11131 3292 3657 6308
2.13045 3249 3603 6323
2.14977 3214 3559 6347
2.16927 3181 3516 6372
2.18894 3148 3475 6397
2.20878 3116 3433 6422
2.22881 3084 3393 6447
2.24902 3052 3352 6473
2.26942 3021 3313 6491
2.29 2990 3274 6503
2.31076 2959 3235 6515
2.33171 2928 3197 6527
2.35286 2898 3160 6539
2.37419 2868 3123 6551
2.39572 2838 3085 6556
2.41744 2805 3045 6544
2.43936 2772 3006 6531
2.46148 2740 2967 6518
2.4838 2708 2929 6506
2.50633 2676 2891 6493
2.52905 2645 2854 6481
2.55199 2615 2817 6430
2.57513 2584 2781 6376
2.59848 2554 2746 6323
2.62204 2525 2710 6270
2.64581 2496 2676 6217
2.66981 2467 2642 6165
2.69402 2441 2611 6133
2.71844 2417 2582 6115
2.74309 2393 2554 6096
2.76797 2370 2527 6077
2.79307 2346 2499 6058
2.81839 2323 2472 6040
2.84395 2303 2448 6043
2.86974 2288 2429 6087
2.89576 2272 2410 6131
2.92202 2257 2391 6175
2.94851 2242 2373 6220
2.97525 2227 2355 6265
3.00223 2212 2336 6311
3.02945 2194 2316 6367
3.05692 2176 2295 6423
3.08464 2158 2274 6479
3.11261 2141 2254 6537
3.14084 2123 2234 6594
3.16932 2106 2214 6653
3.19805 2085 2190 6666
3.22705 2063 2165 6664
3.25632 2041 2140 6661
3.28584 2019 2116 6658
3.3 2009 2104 6657
3.31564 1998 2092 6656
3.3457 1977 2068 6653
3.37604 1956 2045 6608
3.40665 1937 2024 6509
3.43754 1918 2002 6411
3.46871 1899 1982 6314
3.50017 1881 1961 6219
3.53191 1863 1940 6126
3.56393 1844 1919 6029
3.59625 1820 1893 5899
3.62886 1796 1867 5772
3.66176 1773 1842 5647
3.69497 1750 1817 5526
3.72847 1727 1792 5407
3.76228 1705 1768 5290
3.7964 1685 1747 5213
3.83082 1666 1726 5143
3.86556 1648 1706 5074
3.90061 1630 1686 5006
3.93598 1611 1666 4939
3.97167 1593 1647 4873
4.00768 1577 1628 4845
4.04402 1561 1611 4849
4.08069 1545 1594 4853
4.1177 1529 1577 4857
4.15504 1514 1560 4861
4.19271 1498 1544 4865
4.23073 1482 1526 4880
4.26909 1464 1507 4927
4.3078 1446 1488 4974
4.34687 1429 1469 5021
4.38628 1411 1451 5069
4.42605 1394 1433 5117
4.46619 1377 1414 5166
4.50669 1360 1396 5224
4.54755 1343 1378 5283
4.58879 1326 1360 5343
4.6304 1309 1342 5404
4.67238 1293 1325 5465
4.71475 1276 1307 5527
4.7575 1261 1291 5559
4.80064 1246 1276 5573
4.84418 1232 1260 5587
4.8881 1217 1245 5601
4.93242 1203 1230 5615
4.97715 1189 1215 5629
5.02228 1175 1201 5616
5.06782 1162 1187 5545
5.11378 1149 1173 5474
5.16015 1137 1160 5405
5.20694 1124 1147 5336
5.25415 1112 1134 5269
5.30179 1099 1121 5201
5.34987 1087 1108 5065
5.39838 1075 1095 4933
5.44733 1063 1082 4804
5.49673 1051 1070 4679
5.54657 1039 1058 4557
5.59686 1028 1046 4438
5.64761 1018 1035 4307
5.69882 1009 1026 4174
5.7505 1000 1016 4046
5.80264 991 1007 3922
5.85526 982 997 3801
5.90835 973 988 3684
5.96193 965 979 3573
6.01599 957 972 3469
6.07054 950 964 3367
6.12559 943 957 3269
6.18113 936 950 3173
6.2 934 947 3142
6.23718 929 942 3081
6.29374 923 935 2992
6.35081 917 929 2915
6.40839 911 923 2840
6.4665 905 917 2767
6.52514 900 911 2696
6.58431 894 905 2627
6.64401 889 900 2559
6.70426 885 896 2504
6.76505 882 892 2452
6.82639 878 889 2401
6.88829 875 885 2351
6.95075 872 882 2302
7.01378 869 878 2254
7.07738 865 874 2210
7.14156 861 870 2168
7.20631 857 866 2127
7.27166 852 862 2087
7.3376 848 858 2047
7.40413 844 853 2009
7.47127 840 849 1971
7.53902 837 845 1939
7.60738 833 842 1907
7.67636 830 838 1875
7.7 828 837 1865
7.74597 826 834 1844
7.8162 823 830 1814
7.88708 819 827 1784
7.9586 813 821 1753
8.03076 807 814 1723
8.10358 801 808 1694
8.17707 795 802 1664
8.25121 789 796 1636
8.32603 784 790 1608
8.40153 775 781 1574
8.47771 763 770 1538
8.55459 752 758 1502
8.6 746 752 1482
8.63216 742 747 1468
8.71043 731 737 1434
8.78942 720 726 1401
8.86911 710 715 1367
8.94954 698 703 1332
9.03069 686 692 1298
9.11257 675 680 1265
9.19521 664 669 1233
9.27858 653 658 1201
9.36272 642 647 1171
9.44762 634 638 1146
9.53329 626 630 1121
9.61973 618 622 1097
9.70696 609 613 1073
9.79498 602 605 1050
9.8838 594 597 1027
9.97342 585 588 1003
10.0639 575 579 979
10.1551 566 569 955
10.2472 557 560 932
10.3401 548 551 909
10.4339 539 542 887
10.5285 533 536 871
10.624 532 534 861
10.7203 530 533 851
10.8175 528 531 842
10.9156 526 529 833
11.0146 525 527 824
11.1144 522 525 814
11.2152 517 520 801
11.3 513 515 790
11.3169 512 514 788
11.4195 507 509 775
11.5231 502 504 763
11.6276 497 499 750
11.733 492 494 738
11.8394 487 489 726
11.9 484 486 720
11.9468 482 484 715
12.0551 477 479 704
12.1644 472 474 693
12.2747 467 469 682
12.386 462 464 671
12.4983 453 455 654
12.6117 439 441 631
12.7 429 430 613
12.726 426 427 609
12.8414 413 414 587
12.9579 400 402 566
13.0753 388 390 546
13.1939 377 379 528
13.3135 371 372 516
13.4343 364 365 503
13.5561 357 359 491
13.679 351 352 479
13.8031 344 346 468
13.9282 338 339 457
14.0545 335 336 451
14.182 333 334 445
14.3106 330 331 440
14.4403 328 329 434
14.5713 325 326 429
14.7034 323 324 423
14.8367 321 321 418
14.9712 318 319 413
15.107 316 316 408
15.244 313 314 403
15.3822 311 311 399
15.5217 308 309 394
15.6624 306 307 389
15.8045 303 304 384
15.9478 300 301 379
16.0924 298 298 374
16.2383 295 296 370
16.3855 293 293 365
16.4 292 293 364
16.5341 290 291 360
16.6841 287 288 355
16.8353 284 285 351
16.988 281 282 346
17.142 279 279 341
17.2975 276 277 337
17.4543 273 274 332
17.6126 271 271 328
17.7723 268 269 325
17.9335 266 267 321
18.0961 264 264 317
18.2602 262 262 313
18.3 261 262 312
18.4257 259 260 310
18.5928 257 258 306
18.7614 255 255 302
18.9315 252 253 299
19.1032 250 250 295
19.2764 248 248 292
19.4512 245 246 288
19.6276 243 244 285
19.8056 241 241 281
19.9852 239 239 278
20.1664 236 237 274
20.3492 234 234 271
20.5338 232 232 268
20.72 230 230 265
20.9078 228 228 262
21.0974 226 226 259
21.2 225 225 258
21.2887 224 224 256
21.4818 222 222 254
21.6766 220 220 251
21.8731 218 219 248
22.0715 216 217 246
22.2716 215 215 243
22.4735 213 213 240
22.6773 211 211 238
22.883 209 209 235
23.0905 207 208 233
23.1 207 208 233
23.2998 206 206 230
23.5111 204 204 228
23.7243 202 202 225
23.9394 200 200 223
24.1565 198 198 220
24.3755 196 197 218
24.5966 195 195 216
24.8196 193 193 213
25.0447 191 191 211
25.2718 189 189 209
25.5009 187 187 206
25.7321 186 186 204
25.9655 184 184 202
26.2009 182 182 199
26.4385 179 180 196
26.6782 177 177 194
26.9202 175 175 191
27.1643 173 173 188
27.4106 170 171 186
27.6591 168 169 183
27.9099 167 167 181
28.163 165 165 179
28.4184 164 164 177
28.6761 162 162 175
28.9361 160 161 173
29.1985 159 159 171
29.4633 157 157 170
29.7304 156 156 168
30 154 154 166
30.2 153 153 165
30.55 151 151 162
30.9 149 150 160
31.26 148 148 158
31.62 146 146 156
31.99 144 144 154
32.36 142 143 152
32.73 141 141 150
33.11 139 139 148
33.5 137 137 146
33.88 136 136 144
34.28 134 134 142
34.67 132 133 140
35.08 131 131 138
35.48 129 129 136
35.89 128 128 134
36.31 126 126 133
36.73 125 125 131
37.15 123 123 129
37.58 121 121 127
38.02 120 120 126
38.46 118 118 124
38.9 117 117 122
39.36 115 115 121
39.81 114 114 119
40.27 113 113 117
40.74 111 111 116
41.21 110 110 114
41.69 109 109 113
42.17 107 107 111
42.66 106 106 110
43.15 105 105 109
43.65 103 104 107
44.16 102 102 106
44.67 101 101 105
45.19 100 100 104
45.71 99 99 102
46.24 98 98 101
46.77 97 97 100
47.32 96 96 99
47.86 95 95 98
48.42 94 94 97
48.98 93 93 96
49.55 92 92 95
50.12 91 91 94
50.7 90 90 93
51.29 90 90 92
51.88 89 89 91
52.48 88 88 90
53.09 87 87 89
53.7 86 86 88
54.33 85 85 87
54.95 84 84 86
55.59 83 83 85
56.23 82 82 84
56.89 81 81 83
57.54 80 80 82
58.21 79 79 80
58.88 78 78 79
59.57 77 77 78
60.26 76 76 77
60.95 74 75 76
61.66 74 74 75
62.37 73 73 74
63.1 72 72 73
63.83 71 71 72
64.57 70 70 71
65.31 69 69 70
66.07 69 69 70
66.83 68 68 69
67.61 68 68 69
68.39 67 67 68
69.18 66 66 67
69.98 66 66 67
70.79 65 65 66
71.61 64 64 65
72.44 64 64 65
73.28 63 63 64
74.13 63 63 63
74.99 62 62 63
75.86 61 61 62
76.74 61 61 62
77.62 60 60 61
78.52 60 60 60
79.43 59 59 60
80.35 59 59 59
81.28 58 58 59
82.22 57 57 58
83.18 57 57 57
84.14 56 56 57
85.11 56 56 56
86.1 55 55 56
87.1 55 55 55
88.1 54 54 55
89.13 54 54 54
90.16 53 53 54
91.2 53 53 54
92.26 53 53 53
93.33 52 52 53
94.41 52 52 52
95.5 51 51 52
96.61 51 51 51
97.72 50 50 51
98.86 50 50 50
100 49 49 50
101.2 49 49 49
102.3 49 49 49
103.5 48 48 48
104.7 47 47 48
105.9 47 47 47
107.2 46 46 46
108.4 45 45 46
109.6 45 45 45
110.9 44 44 45
112.2 44 44 44
113.5 43 43 44
114.8 43 43 43
116.1 42 42 43
117.5 42 42 42
118.9 41 41 42
120.2 41 41 41
121.6 40 40 41
123 40 40 40
124.5 39 39 40
125.9 39 39 39
127.4 39 39 39
128.8 38 38 38
130.3 38 38 38
131.8 37 37 37
133.4 36 36 37
134.9 36 36 36
136.5 35 35 36
138 35 35 35
139.6 35 35 35
141.3 34 34 34
142.9 34 34 34
144.5 33 33 33
146.2 33 33 33
147.9 33 33 33
149.6 32 32 32
151.4 32 32 32
153.1 32 32 32
154.9 31 31 32
156.7 31 31 31
158.5 31 31 31
160.3 31 31 31
162.2 30 30 30
164.1 30 30 30
166 30 30 30
167.9 29 29 29
169.8 29 29 29
171.8 28 28 28
173.8 28 28 28
175.8 27 27 27
177.8 27 27 27
179.9 26 26 26
182 26 26 26
184.1 26 26 26
186.2 25 25 25
188.4 25 25 25
190.5 25 25 25
192.8 25 25 25
195 24 24 24
197.2 24 24 24
199.5 24 24 24
201.8 24 24 24
204.2 24 24 24
206.5 23 23 24
208.9 23 23 23
211.3 23 23 23
213.8 23 23 23
216.3 22 22 22
218.8 22 22 22
221.3 22 22 22
223.9 21 21 21
