TiMBA Area;RegionCode;ISO3 Code;Area Code;ContinentNew;Carbon Region
Honduras;g2;HND;95;North America;Central America
Jamaica;g3;JAM;109;North America;Caribbean
Martinique;g4;MTQ;135;North America;Caribbean
Mexico;g5;MEX;138;North America;Central America
Netherlands Antilles;g6;ANT;151;North America;Caribbean
Nicaragua;g7;NIC;157;North America;Central America
Panama;g8;PAN;166;North America;Central America
Saint Vincent/Grenadines;g9;VCT;191;North America;Caribbean
Trinidad and Tobago;h0;TTO;220;North America;Caribbean
United States of America;h1;USA;231;North America;North America
Argentina;h2;ARG;9;South America;South America
Bolivia;h3;BOL;19;South America;South America
Brazil;h4;BRA;21;South America;South America
Chile;h5;CHL;40;South America;South America
Colombia;h6;COL;44;South America;South America
Ecuador;h7;ECU;58;South America;South America
French Guiana;h8;GUF;69;South America;South America
Guyana;h9;GUY;91;South America;South America
Paraguay;i0;PRY;169;South America;South America
Peru;i1;PER;170;South America;South America
Suriname;i2;SUR;207;South America;South America
Uruguay;i3;URY;234;South America;South America
Venezuela Boliv Rep of;i4;VEN;236;South America;South America
Afghanistan;i5;AFG;2;Asia;South and Southeast Asia
Bahrain;i6;BHR;13;Asia;Western and Central Asia
Bangladesh;i7;BGD;16;Asia;South and Southeast Asia
Bhutan;i8;BTN;18;Asia;South and Southeast Asia
Brunei Darussalam;i9;BRN;26;Asia;South and Southeast Asia
Cambodia;j0;KHM;115;Asia;South and Southeast Asia
China;j1;CHN;351;Asia;East Asia
Cyprus;j2;CYP;50;Asia;Western and Central Asia
Maldives;j3;MDV;134;Asia;South and Southeast Asia
India;j4;IND;100;Asia;South and Southeast Asia
Indonesia;j5;IDN;101;Asia;South and Southeast Asia
Iran Islamic Rep of;j6;IRN;102;Asia;Western and Central Asia
Iraq;j7;IRQ;103;Asia;Western and Central Asia
Israel;j8;ISR;105;Asia;Western and Central Asia
Japan;j9;JPN;110;Asia;East Asia
Jordan;k0;JOR;112;Asia;Western and Central Asia
Korea Dem People's Rep;k1;PRK;116;Asia;East Asia
Korea Republic of;k2;KOR;117;Asia;East Asia
Kuwait;k3;KWT;118;Asia;Western and Central Asia
Laos;k4;LAO;120;Asia;South and Southeast Asia
Lebanon;k5;LBN;121;Asia;Western and Central Asia
Timor-Leste;k6;TLS;176;Asia;South and Southeast Asia
Malaysia;k7;MYS;131;Asia;South and Southeast Asia
Mongolia;k8;MNG;141;Asia;East Asia
Myanmar;k9;MMR;28;Asia;South and Southeast Asia
Nepal;l0;NPL;149;Asia;South and Southeast Asia
Oman;l1;OMN;221;Asia;Western and Central Asia
Pakistan;l2;PAK;165;Asia;South and Southeast Asia
Philippines;l3;PHL;171;Asia;South and Southeast Asia
Qatar;l4;QAT;179;Asia;Western and Central Asia
Saudi Arabia;l5;SAU;194;Asia;Western and Central Asia
Singapore;l6;SGP;200;Asia;South and Southeast Asia
Sri Lanka;l7;LKA;38;Asia;South and Southeast Asia
Syrian Arab Republic;l8;SYR;212;Asia;Western and Central Asia
Thailand;l9;THA;216;Asia;South and Southeast Asia
Turkey;m0;TUR;223;Asia;Western and Central Asia
United Arab Emirates;m1;ARE;225;Asia;Western and Central Asia
Viet Nam;m2;VNM;237;Asia;South and Southeast Asia
Yemen;m3;YEM;249;Asia;Western and Central Asia
Australia;m4;AUS;10;Oceania;Oceania
Cook Islands;m5;COK;47;Oceania;Oceania
Fiji Islands;m6;FJI;66;Oceania;Oceania
French Polynesia;m7;PYF;70;Oceania;Oceania
New Caledonia;m8;NCL;153;Oceania;Oceania
New Zealand;m9;NZL;156;Oceania;Oceania
Papua New Guinea;n0;PNG;168;Oceania;Oceania
Samoa;n1;WSM;244;Oceania;Oceania
Solomon Islands;n2;SLB;25;Oceania;Oceania
Tonga;n3;TON;219;Oceania;Oceania
Vanuatu;n4;VUT;155;Oceania;Oceania
Albania;n5;ALB;3;Europe;South-Eastern Europe
Austria;n6;AUT;11;Europe;Central Europe
Belgium;n7;BEL;255;Europe;Western Europe
Bosnia and Herzegovina;n8;BIH;80;Europe;South-Eastern Europe
Bulgaria;n9;BGR;27;Europe;South-Eastern Europe
Croatia;o0;HRV;98;Europe;South-Eastern Europe
Czech Republic;o1;CZE;167;Europe;Central Europe
Denmark;o2;DNK;54;Europe;Northern Europe
Finland;o3;FIN;67;Europe;Northern Europe
France;o4;FRA;68;Europe;Western Europe
Germany;o5;DEU;79;Europe;Central Europe
Greece;o6;GRC;84;Europe;Southern Europe
Hungary;o7;HUN;97;Europe;Central Europe
Luxembourg;o8;LUX;256;Europe;Western Europe
Ireland;o9;IRL;104;Europe;Western Europe
Italy;p0;ITA;106;Europe;Southern Europe
MacedoniaThe Fmr Yug Rp;p1;MKD;154;Europe;South-Eastern Europe
Montenegro;p2;MNE;273;Europe;South-Eastern Europe
Netherlands;p3;NLD;150;Europe;Western Europe
Norway;p4;NOR;162;Europe;Northern Europe
Poland;p5;POL;173;Europe;Central Europe
Portugal;p6;PRT;174;Europe;South-Western Europe
Romania;p7;ROU;183;Europe;South-Eastern Europe
Slovakia;p8;SVK;199;Europe;Central Europe
Slovenia;p9;SVN;198;Europe;Central Europe
Spain;q0;ESP;203;Europe;South-Western Europe
Sweden;q1;SWE;210;Europe;Northern Europe
Switzerland;q2;CHE;211;Europe;Central Europe
United Kingdom;q3;GBR;229;Europe;Western Europe
Serbia;q4;SRB;272;Europe;South-Eastern Europe
Armenia;q5;ARM;1;Asia;Western and Central Asia
Azerbaijan Republic of;q6;AZE;52;Asia;Western and Central Asia
Belarus;q7;BLR;57;Europe;Eastern Europe
Estonia;q8;EST;63;Europe;Eastern Europe
Georgia;q9;GEO;73;Asia;Western and Central Asia
Kazakhstan;r0;KAZ;108;Asia;Western and Central Asia
Kyrgyzstan;r1;KGZ;113;Asia;Western and Central Asia
Latvia;r2;LVA;119;Europe;Eastern Europe
Lithuania;r3;LTU;126;Europe;Eastern Europe
Moldova Republic of;r4;MDA;146;Europe;South-Eastern Europe
Russian Federation;r5;RUS;185;Asia;Russian Federation
Tajikistan;r6;TJK;208;Asia;Western and Central Asia
Turkmenistan;r7;TKM;213;Asia;Western and Central Asia
Ukraine;r8;UKR;230;Europe;Eastern Europe
Uzbekistan;r9;UZB;235;Asia;Western and Central Asia
Rest of World;zy;WRL;0;World;World
